date,value,id
2024-04-01,87,rioverde_rua30
2024-04-02,63,rioverde_rua30
2024-04-03,66,rioverde_rua30
2024-04-04,19,rioverde_rua30
2024-04-05,48,rioverde_rua30
2024-04-06,69,rioverde_rua30
2024-04-07,45,rioverde_rua30
2024-04-08,2,rioverde_rua30
2024-04-09,99,rioverde_rua30
2024-04-10,71,rioverde_rua30
2024-04-11,43,rioverde_rua30
2024-04-12,56,rioverde_rua30
2024-04-13,93,rioverde_rua30
2024-04-14,35,rioverde_rua30
2024-04-15,73,rioverde_rua30
2024-04-16,54,rioverde_rua30
2024-04-17,23,rioverde_rua30
2024-04-18,8,rioverde_rua30
2024-04-19,21,rioverde_rua30
2024-04-20,4,rioverde_rua30
2024-04-21,60,rioverde_rua30
2024-04-22,95,rioverde_rua30
2024-04-23,79,rioverde_rua30
2024-04-24,11,rioverde_rua30
2024-04-25,18,rioverde_rua30
2024-04-26,69,rioverde_rua30
2024-04-27,74,rioverde_rua30
2024-04-28,13,rioverde_rua30
2024-04-29,42,rioverde_rua30
2024-04-30,86,rioverde_rua30
